"record_type","level_id","level_title","production","source_path","source_sha256","challenge_id","active","active_authored","anchor_id","linked_rune_ids","linked_object_id","linked_object_label","challenge_character_id","challenge_metadata_json","linked_runes_json","linked_object_json","slot_index","slot_id","slot_metadata_json","variant_label","variant_id","domain","school_band","family","presentation","answer_mode","prompt","visual_json","choices_json","answer","answer_json","hint_minnie","hint_moose","explanation","analysis_category","table_target","table_evidence","raw_variant_json"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","1","zon-slot-1","{""id"":""zon-slot-1""}","A","zon-1a","math","E5-intended","bare_multiplication","bare","open","5 × 10 = ?","","","50","50","Denk aan de tafel van 10.","5 groepjes van 10 eindigen op nul.","5 × 10 = 50.","multiplication","10","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-1a"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""open"",""prompt"":""5 × 10 = ?"",""answer"":50,""hintMinnie"":""Denk aan de tafel van 10."",""hintMoose"":""5 groepjes van 10 eindigen op nul."",""explanation"":""5 × 10 = 50.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","1","zon-slot-1","{""id"":""zon-slot-1""}","B","zon-1b","math","E5-intended","bare_multiplication","bare","multipleChoice","4 × 8 = ?","","[24,32,40,48]","32","32","Denk aan de tafel van 8.","Reken 4 × 4 en verdubbel dat.","4 × 8 = 32.","multiplication","8","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-1b"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""multipleChoice"",""prompt"":""4 × 8 = ?"",""answer"":32,""choices"":[24,32,40,48],""hintMinnie"":""Denk aan de tafel van 8."",""hintMoose"":""Reken 4 × 4 en verdubbel dat."",""explanation"":""4 × 8 = 32.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","2","zon-slot-2","{""id"":""zon-slot-2""}","A","zon-2a","math","E5-intended","story_multiplication","story","open","Rond het zonneteken liggen 4 kringen met elk 7 gouden schijfjes. Hoeveel schijfjes zijn dat samen?","","","28","28","Er zijn 4 gelijke groepjes. In elk groepje zitten er 7.","Reken 4 × 5 en 4 × 2 en tel de uitkomsten op.","4 × 7 = 28.","multiplication","7","Second factor of explicit authored multiplication equation (counting convention; no target-table metadata)","{""id"":""zon-2a"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""story_multiplication"",""presentation"":""story"",""answerMode"":""open"",""prompt"":""Rond het zonneteken liggen 4 kringen met elk 7 gouden schijfjes. Hoeveel schijfjes zijn dat samen?"",""answer"":28,""hintMinnie"":""Er zijn 4 gelijke groepjes. In elk groepje zitten er 7."",""hintMoose"":""Reken 4 × 5 en 4 × 2 en tel de uitkomsten op."",""explanation"":""4 × 7 = 28.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","2","zon-slot-2","{""id"":""zon-slot-2""}","B","zon-2b","math","E5-intended","bare_multiplication","bare","open","2 × 4 = ?","","","8","8","Denk aan de tafel van 4.","Verdubbel 2 twee keer.","2 × 4 = 8.","multiplication","4","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-2b"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""open"",""prompt"":""2 × 4 = ?"",""answer"":8,""hintMinnie"":""Denk aan de tafel van 4."",""hintMoose"":""Verdubbel 2 twee keer."",""explanation"":""2 × 4 = 8.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","3","zon-slot-3","{""id"":""zon-slot-3""}","A","zon-3a","math","E5-intended","bare_multiplication","bare","multipleChoice","8 × 9 = ?","","[63,72,81,90]","72","72","Denk aan de tafel van 9.","Reken 10 × 8 en haal 8 eraf.","8 × 9 = 72.","multiplication","9","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-3a"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""multipleChoice"",""prompt"":""8 × 9 = ?"",""answer"":72,""choices"":[63,72,81,90],""hintMinnie"":""Denk aan de tafel van 9."",""hintMoose"":""Reken 10 × 8 en haal 8 eraf."",""explanation"":""8 × 9 = 72.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","3","zon-slot-3","{""id"":""zon-slot-3""}","B","zon-3b","math","E5-intended","bare_multiplication","bare","open","5 × 5 = ?","","","25","25","Denk aan de tafel van 5.","Tel 5 sprongen van 5.","5 × 5 = 25.","multiplication","5","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-3b"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""open"",""prompt"":""5 × 5 = ?"",""answer"":25,""hintMinnie"":""Denk aan de tafel van 5."",""hintMoose"":""Tel 5 sprongen van 5."",""explanation"":""5 × 5 = 25.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","4","zon-slot-4","{""id"":""zon-slot-4""}","A","zon-4a","math","E5-intended","bare_multiplication","bare","multipleChoice","8 × 7 = ?","","[49,56,63,70]","56","56","Denk aan de tafel van 7.","Reken 5 × 8 en 2 × 8.","8 × 7 = 56.","multiplication","7","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-4a"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""multipleChoice"",""prompt"":""8 × 7 = ?"",""answer"":56,""choices"":[49,56,63,70],""hintMinnie"":""Denk aan de tafel van 7."",""hintMoose"":""Reken 5 × 8 en 2 × 8."",""explanation"":""8 × 7 = 56.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","zon","true","omitted","zon","zon","zon","Zonrune","runewachter","{""id"":""zon"",""anchorId"":""zon"",""challengeCharacterId"":""runewachter""}","[{""id"":""zon"",""objectId"":""zon"",""name"":""Zonrune"",""shortName"":""Zon"",""defaultAction"":""activate"",""intro"":""De Zonrune voelt warm aan."",""solved"":""Goed zo! De Zonrune gloeit."",""challengeId"":""zon""}]","{""id"":""zon"",""type"":""rune"",""center"":{""x"":1384,""y"":153},""radius"":46,""approachNode"":""sun-rune-approach"",""label"":""Zonrune""}","4","zon-slot-4","{""id"":""zon-slot-4""}","B","zon-4b","math","E5-intended","bare_division","bare","multipleChoice","35 : 5 = ?","","[6,7,8,9]","7","7","Welke som uit de tafel van 5 helpt?","Omdat 5 × 7 = 35, is 35 : 5 = 7.","35 : 5 = 7.","division","5","Explicit table named in authored hint; agrees with equation operand","{""id"":""zon-4b"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_division"",""presentation"":""bare"",""answerMode"":""multipleChoice"",""prompt"":""35 : 5 = ?"",""answer"":7,""choices"":[6,7,8,9],""hintMinnie"":""Welke som uit de tafel van 5 helpt?"",""hintMoose"":""Omdat 5 × 7 = 35, is 35 : 5 = 7."",""explanation"":""35 : 5 = 7.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","steen","true","omitted","steen","steen","steen","Steenrune","runewachter","{""id"":""steen"",""anchorId"":""steen"",""challengeCharacterId"":""runewachter""}","[{""id"":""steen"",""objectId"":""steen"",""name"":""Steenrune"",""shortName"":""Steen"",""defaultAction"":""activate"",""intro"":""De Steenrune bromt zacht."",""solved"":""Sterk! De Steenrune is wakker."",""challengeId"":""steen""}]","{""id"":""steen"",""type"":""rune"",""center"":{""x"":1467,""y"":317},""radius"":44,""approachNode"":""stone-rune-approach"",""label"":""Steenrune""}","1","steen-slot-1","{""id"":""steen-slot-1""}","A","steen-1a","math","E5-intended","story_multiplication","story","open","Voor het steenteken bouwt de Viking 3 stapels van 8 stenen. Hoeveel stenen gebruikt hij?","","","24","24","Er zijn 3 gelijke groepjes. In elk groepje zitten er 8.","Verdubbel 3 drie keer.","3 × 8 = 24.","multiplication","8","Second factor of explicit authored multiplication equation (counting convention; no target-table metadata)","{""id"":""steen-1a"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""story_multiplication"",""presentation"":""story"",""answerMode"":""open"",""prompt"":""Voor het steenteken bouwt de Viking 3 stapels van 8 stenen. Hoeveel stenen gebruikt hij?"",""answer"":24,""hintMinnie"":""Er zijn 3 gelijke groepjes. In elk groepje zitten er 8."",""hintMoose"":""Verdubbel 3 drie keer."",""explanation"":""3 × 8 = 24.""}"
"authored_variant","LVL-0001","De Runenpoort","true","Levels/LVL-0001/level.js","b8d457268146a1d7efb5496e267c340e33f9a6ebcb48fd6d47bb4a3b3f8e5c58","steen","true","omitted","steen","steen","steen","Steenrune","runewachter","{""id"":""steen"",""anchorId"":""steen"",""challengeCharacterId"":""runewachter""}","[{""id"":""steen"",""objectId"":""steen"",""name"":""Steenrune"",""shortName"":""Steen"",""defaultAction"":""activate"",""intro"":""De Steenrune bromt zacht."",""solved"":""Sterk! De Steenrune is wakker."",""challengeId"":""steen""}]","{""id"":""steen"",""type"":""rune"",""center"":{""x"":1467,""y"":317},""radius"":44,""approachNode"":""stone-rune-approach"",""label"":""Steenrune""}","1","steen-slot-1","{""id"":""steen-slot-1""}","B","steen-1b","math","E5-intended","bare_multiplication","bare","multipleChoice","2 × 6 = ?","","[6,12,18,24]","12","12","Denk aan de tafel van 6.","Reken 5 × 2 en tel nog 2 erbij.","2 × 6 = 12.","multiplication","6","Explicit table named in authored hint; agrees with equation operand","{""id"":""steen-1b"",""domain"":""math"",""schoolBand"":""E5-intended"",""family"":""bare_multiplication"",""presentation"":""bare"",""answerMode"":""multipleChoice"",""prompt"":""2 × 6 = ?"",""answer"":12,""choices"":[6,12,18,24],""hintMinnie"":""Denk aan de tafel van 6."",""hintMoose"":""Reken 5 × 2 en tel nog 2 erbij."",""explanation"":""2 × 6 = 12.""}"
