"level","levelTitle","anchor","anchorName","slotId","variantId","isClock","hour","minute","prompt","answer","choices","answerMode","presentation","family","category","broadClassification","operation","tableOrDivisor","hintMinnie","hintMoose","explanation","qualityFlags"
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-1","optics-table-1a","false","","","6 × 12 = ?","72","66; 72; 78; 84","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","6","Denk aan de tafel van 6.","Splits de keersom in twee makkelijke stukken.","6 × 12 = 72.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-1","optics-table-1b","false","","","7 × 13 = ?","91","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","7","Denk aan de tafel van 7.","Splits de keersom in twee makkelijke stukken.","7 × 13 = 91.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-2","optics-table-2a","false","","","24 : 6 = ?","4","3; 4; 5; 6","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","6","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","24 : 6 = 4, want 6 × 4 = 24.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-2","optics-table-2b","false","","","Bij de spiegels liggen 6 rijen met 8 delen. Hoeveel delen zijn dat samen?","48","42; 48; 54; 60","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","6","Zoek 6 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","6 × 8 = 48.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-3","optics-table-3a","false","","","Leonardo tekent 7 vakken met 10 lijnen per vak. Hoeveel lijnen tekent hij?","70","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","7","Zoek 7 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","7 × 10 = 70.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-3","optics-table-3b","false","","","42 : 7 = ?","6","","open","bare","bare_division","Bare division, open answer","division","multiplication","7","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","42 : 7 = 6, want 7 × 6 = 42.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-4","optics-table-4a","false","","","Bij de spiegels liggen eerst 28 onderdelen en Leonardo legt er 17 bij. Hoeveel onderdelen liggen er nu?","45","","open","story","measurement","Route, money, or other applied questions","applied","applied","","Kijk welke twee aantallen je samenneemt.","Tel eerst de tientallen en daarna de lossen.","28 + 17 = 45.",""
"LVL-0021","Rome","opticsTable","Optiektafel","optics-table-slot-4","optics-table-4b","false","","","Bij de spiegels maakt Sven van 24 meetkaartjes 8 gelijke stapels. Hoeveel kaartjes liggen op elke stapel?","3","2; 3; 4; 5","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","8","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","24 : 8 = 3, want 8 × 3 = 24.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-1","mechanical-model-1a","false","","","Bij de wielen verdeelt Sven 45 onderdelen over 9 gelijke bakken. Hoeveel onderdelen komen in elke bak?","5","","open","story","story_division","Story division, open answer","division","multiplication","9","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","45 : 9 = 5, want 9 × 5 = 45.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-1","mechanical-model-1b","false","","","8 × 9 = ?","72","64; 72; 80; 88","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","8","Denk aan de tafel van 8.","Splits de keersom in twee makkelijke stukken.","8 × 9 = 72.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-2","mechanical-model-2a","false","","","9 × 9 = ?","81","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","9","Denk aan de tafel van 9.","Splits de keersom in twee makkelijke stukken.","9 × 9 = 81.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-2","mechanical-model-2b","false","","","14 : 2 = ?","7","6; 7; 8; 9","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","2","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","14 : 2 = 7, want 2 × 7 = 14.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-3","mechanical-model-3a","false","","","Bij de wielen liggen 8 rijen met 5 delen. Hoeveel delen zijn dat samen?","40","32; 40; 48; 56","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","8","Zoek 8 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","8 × 5 = 40.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-3","mechanical-model-3b","false","","","Leonardo tekent 9 vakken met 7 lijnen per vak. Hoeveel lijnen tekent hij?","63","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","9","Zoek 9 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","9 × 7 = 63.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-4","mechanical-model-4a","false","","","24 : 3 = ?","8","","open","bare","bare_division","Bare division, open answer","division","multiplication","3","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","24 : 3 = 8, want 3 × 8 = 24.",""
"LVL-0021","Rome","mechanicalModel","Mechanisch model","mechanical-model-slot-4","mechanical-model-4b","false","","","Bij de wielen zijn 64 cm touw nodig en Sven gebruikt al 19 cm. Hoeveel cm blijft over?","45","","open","story","measurement","Route, money, or other applied questions","applied","applied","","Kijk wat er van het eerste aantal afgaat.","Trek eerst de tientallen af en daarna de lossen.","64 - 19 = 45.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-1","central-codex-1a","false","","","Bij de codexpagina's verdeelt Sven 12 onderdelen over 4 gelijke bakken. Hoeveel onderdelen komen in elke bak?","3","2; 3; 4; 5","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","4","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","12 : 4 = 3, want 4 × 3 = 12.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-1","central-codex-1b","false","","","Leonardo verdeelt 25 stukjes bij de codexpagina's in 5 gelijke groepen. Hoeveel stukjes krijgt elke groep?","5","","open","story","story_division","Story division, open answer","division","multiplication","5","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","25 : 5 = 5, want 5 × 5 = 25.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-2","central-codex-2a","false","","","2 × 3 = ?","6","4; 6; 8; 10","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","2","Denk aan de tafel van 2.","Splits de keersom in twee makkelijke stukken.","2 × 3 = 6.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-2","central-codex-2b","false","","","10 × 4 = ?","40","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","10","Denk aan de tafel van 10.","Splits de keersom in twee makkelijke stukken.","10 × 4 = 40.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-3","central-codex-3a","false","","","40 : 10 = ?","4","3; 4; 5; 6","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","10","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","40 : 10 = 4, want 10 × 4 = 40.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-3","central-codex-3b","false","","","Bij de codexpagina's liggen 2 rijen met 3 delen. Hoeveel delen zijn dat samen?","6","4; 6; 8; 10","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","2","Zoek 2 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","2 × 3 = 6.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-4","central-codex-4a","false","","","Leonardo tekent 3 vakken met 5 lijnen per vak. Hoeveel lijnen tekent hij?","15","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","3","Zoek 3 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","3 × 5 = 15.",""
"LVL-0021","Rome","centralCodex","Centrale codex","central-codex-slot-4","central-codex-4b","false","","","36 : 6 = ?","6","","open","bare","bare_division","Bare division, open answer","division","multiplication","6","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","36 : 6 = 6, want 6 × 6 = 36.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-1","engineering-table-1a","false","","","Sven meet bij de modeldelen eerst 35 cm en daarna nog 24 cm. Hoeveel cm is dat samen?","59","","open","story","measurement","Route, money, or other applied questions","applied","applied","","Kijk welke twee aantallen je samenneemt.","Tel eerst de tientallen en daarna de lossen.","35 + 24 = 59.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-1","engineering-table-1b","false","","","Leonardo verdeelt 70 stukjes bij de modeldelen in 7 gelijke groepen. Hoeveel stukjes krijgt elke groep?","10","9; 10; 11; 12","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","7","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","70 : 7 = 10, want 7 × 10 = 70.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-2","engineering-table-2a","false","","","Bij de modeldelen maakt Sven van 24 meetkaartjes 8 gelijke stapels. Hoeveel kaartjes liggen op elke stapel?","3","","open","story","story_division","Story division, open answer","division","multiplication","8","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","24 : 8 = 3, want 8 × 3 = 24.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-2","engineering-table-2b","false","","","3 × 3 = ?","9","6; 9; 12; 15","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","3","Denk aan de tafel van 3.","Splits de keersom in twee makkelijke stukken.","3 × 3 = 9.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-3","engineering-table-3a","false","","","4 × 3 = ?","12","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","4","Denk aan de tafel van 4.","Splits de keersom in twee makkelijke stukken.","4 × 3 = 12.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-3","engineering-table-3b","false","","","63 : 9 = ?","7","6; 7; 8; 9","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","9","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","63 : 9 = 7, want 9 × 7 = 63.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-4","engineering-table-4a","false","","","Bij de modeldelen liggen 4 rijen met 9 delen. Hoeveel delen zijn dat samen?","36","32; 36; 40; 44","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","4","Zoek 4 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","4 × 9 = 36.",""
"LVL-0021","Rome","engineeringTable","Bouwtafel","engineering-table-slot-4","engineering-table-4b","false","","","Leonardo tekent 5 vakken met 2 lijnen per vak. Hoeveel lijnen tekent hij?","10","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","5","Zoek 5 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","5 × 2 = 10.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-1","measuring-table-1a","false","","","20 : 2 = ?","10","","open","bare","bare_division","Bare division, open answer","division","multiplication","2","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","20 : 2 = 10, want 2 × 10 = 20.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-1","measuring-table-1b","false","","","Leonardo heeft 90 gram materiaal bij de latten en gebruikt 27 gram. Hoeveel gram blijft over?","63","","open","story","measurement","Route, money, or other applied questions","applied","multiplication","27","Kijk wat er van het eerste aantal afgaat.","Trek eerst de tientallen af en daarna de lossen.","90 - 27 = 63.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-2","measuring-table-2a","false","","","Bij de latten maakt Sven van 30 meetkaartjes 3 gelijke stapels. Hoeveel kaartjes liggen op elke stapel?","10","9; 10; 11; 12","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","3","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","30 : 3 = 10, want 3 × 10 = 30.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-2","measuring-table-2b","false","","","Bij de latten verdeelt Sven 12 onderdelen over 4 gelijke bakken. Hoeveel onderdelen komen in elke bak?","3","","open","story","story_division","Story division, open answer","division","multiplication","4","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","12 : 4 = 3, want 4 × 3 = 12.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-3","measuring-table-3a","false","","","5 × 3 = ?","15","10; 15; 20; 25","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","5","Denk aan de tafel van 5.","Splits de keersom in twee makkelijke stukken.","5 × 3 = 15.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-3","measuring-table-3b","false","","","6 × 4 = ?","24","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","6","Denk aan de tafel van 6.","Splits de keersom in twee makkelijke stukken.","6 × 4 = 24.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-4","measuring-table-4a","false","","","20 : 5 = ?","4","3; 4; 5; 6","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","5","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","20 : 5 = 4, want 5 × 4 = 20.",""
"LVL-0022","Proceno","measuringTable","Meettafel","measuring-table-slot-4","measuring-table-4b","false","","","Bij de latten liggen 10 rijen met 10 delen. Hoeveel delen zijn dat samen?","100","90; 100; 110; 120","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","10","Zoek 10 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","10 × 10 = 100.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-1","bridge-model-1a","false","","","Leonardo tekent 6 vakken met 7 lijnen per vak. Hoeveel lijnen tekent hij?","42","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","6","Zoek 6 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","6 × 7 = 42.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-1","bridge-model-1b","false","","","30 : 10 = ?","3","","open","bare","bare_division","Bare division, open answer","division","multiplication","10","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","30 : 10 = 3, want 10 × 3 = 30.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-2","bridge-model-2a","false","","","De proef bij de brugliggers duurt eerst 18 minuten en daarna nog 25 minuten. Hoeveel minuten duurt het samen?","43","","open","story","measurement","Route, money, or other applied questions","applied","applied","","Kijk welke twee aantallen je samenneemt.","Tel eerst de tientallen en daarna de lossen.","18 + 25 = 43.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-2","bridge-model-2b","false","","","Bij de brugliggers verdeelt Sven 48 onderdelen over 6 gelijke bakken. Hoeveel onderdelen komen in elke bak?","8","7; 8; 9; 10","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","6","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","48 : 6 = 8, want 6 × 8 = 48.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-3","bridge-model-3a","false","","","Leonardo verdeelt 70 stukjes bij de brugliggers in 7 gelijke groepen. Hoeveel stukjes krijgt elke groep?","10","","open","story","story_division","Story division, open answer","division","multiplication","7","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","70 : 7 = 10, want 7 × 10 = 70.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-3","bridge-model-3b","false","","","7 × 11 = ?","77","70; 77; 84; 91","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","7","Denk aan de tafel van 7.","Splits de keersom in twee makkelijke stukken.","7 × 11 = 77.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-4","bridge-model-4a","false","","","8 × 11 = ?","88","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","8","Denk aan de tafel van 8.","Splits de keersom in twee makkelijke stukken.","8 × 11 = 88.",""
"LVL-0022","Proceno","bridgeModel","Brugmodel","bridge-model-slot-4","bridge-model-4b","false","","","48 : 8 = ?","6","5; 6; 7; 8","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","8","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","48 : 8 = 6, want 8 × 6 = 48.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-1","well-winch-1a","false","","","Bij de emmers liggen 7 rijen met 2 delen. Hoeveel delen zijn dat samen?","14","7; 14; 21; 28","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","7","Zoek 7 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","7 × 2 = 14.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-1","well-winch-1b","false","","","Leonardo tekent 8 vakken met 4 lijnen per vak. Hoeveel lijnen tekent hij?","32","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","8","Zoek 8 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","8 × 4 = 32.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-2","well-winch-2a","false","","","54 : 9 = ?","6","","open","bare","bare_division","Bare division, open answer","division","multiplication","9","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","54 : 9 = 6, want 9 × 6 = 54.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-2","well-winch-2b","false","","","Bij de emmers ligt 72 cm lat en Sven zaagt 38 cm af. Hoeveel cm blijft over?","34","","open","story","measurement","Route, money, or other applied questions","applied","multiplication","38","Kijk wat er van het eerste aantal afgaat.","Trek eerst de tientallen af en daarna de lossen.","72 - 38 = 34.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-3","well-winch-3a","false","","","Leonardo verdeelt 16 stukjes bij de emmers in 2 gelijke groepen. Hoeveel stukjes krijgt elke groep?","8","7; 8; 9; 10","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","2","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","16 : 2 = 8, want 2 × 8 = 16.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-3","well-winch-3b","false","","","Bij de emmers maakt Sven van 30 meetkaartjes 3 gelijke stapels. Hoeveel kaartjes liggen op elke stapel?","10","","open","story","story_division","Story division, open answer","division","multiplication","3","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","30 : 3 = 10, want 3 × 10 = 30.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-4","well-winch-4a","false","","","9 × 2 = ?","18","9; 18; 27; 36","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","9","Denk aan de tafel van 9.","Splits de keersom in twee makkelijke stukken.","9 × 2 = 18.",""
"LVL-0022","Proceno","wellWinch","Put en lier","well-winch-slot-4","well-winch-4b","false","","","2 × 4 = ?","8","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","2","Denk aan de tafel van 2.","Splits de keersom in twee makkelijke stukken.","2 × 4 = 8.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-1","gate-mechanism-1a","false","","","8 : 4 = ?","2","1; 2; 3; 4","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","4","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","8 : 4 = 2, want 4 × 2 = 8.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-1","gate-mechanism-1b","false","","","Bij de kettingen liggen 9 rijen met 8 delen. Hoeveel delen zijn dat samen?","72","63; 72; 81; 90","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","9","Zoek 9 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","9 × 8 = 72.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-2","gate-mechanism-2a","false","","","Leonardo tekent 2 vakken met 2 lijnen per vak. Hoeveel lijnen tekent hij?","4","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","2","Zoek 2 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","2 × 2 = 4.",""
